1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
10638,10638,5445,5445,3630,3630,3025,3025,2420,2420,1815,1815,1815,1815,1815,1815,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210,958,958,605
1.0,1.0,1.95371900826,1.95371900826,2.9305785124,2.9305785124,3.51669421488,3.51669421488,4.3958677686,4.3958677686,5.86115702479,5.86115702479,5.86115702479,5.86115702479,5.86115702479,5.86115702479,8.79173553719,8.79173553719,8.79173553719,8.79173553719,8.79173553719,8.79173553719,8.79173553719,8.79173553719,8.79173553719,8.79173553719,8.79173553719,8.79173553719,8.79173553719,8.79173553719,8.79173553719,8.79173553719,11.1043841336,11.1043841336,17.5834710744
0.0568715924046,0.0284357962023,0.0723599632691,0.0542699724518,0.0976859504132,0.0814049586777,0.100476977568,0.0879173553719,0.122107438017,0.109896694215,0.177610818933,0.162809917355,0.150286077559,0.139551357733,0.130247933884,0.122107438017,0.258580456976,0.244214876033,0.231361461505,0.21979338843,0.2093270366,0.1998121713,0.191124685591,0.183161157025,0.175834710744,0.169071837254,0.162809917355,0.15699527745,0.151581647193,0.14652892562,0.141802186084,0.137370867769,0.212505611464,0.206255446421,0.502384887839
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
