1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35
21175;10890;7260;5445;4235;3630;3025;3025;2420;2420;2420;1815;1815;1815;1815;1815;1815;1210;1210;1210;1210;1210;1210;1210;1210;1210;1210;1210;1210;1210;1210;1210;1210;1210;605
1;1,944444444;2,916666667;3,888888889;5;5,833333333;7;7;8,75;8,75;8,75;11,66666667;11,66666667;11,66666667;11,66666667;11,66666667;11,66666667;17,5;17,5;17,5;17,5;17,5;17,5;17,5;17,5;17,5;17,5;17,5;17,5;17,5;17,5;17,5;17,5;17,5;35
1;0,972222222;0,972222222;0,972222222;1;0,972222222;1;0,875;0,972222222;0,875;0,795454545;0,972222222;0,897435897;0,833333333;0,777777778;0,729166667;0,68627451;0,972222222;0,921052632;0,875;0,833333333;0,795454545;0,760869565;0,729166667;0,7;0,673076923;0,648148148;0,625;0,603448276;0,583333333;0,564516129;0,546875;0,53030303;0,514705882;1
4,72E-05;8,93E-05;0,000133915;0,000178553;0,000236128;0,00026783;0,000330579;0,000289256;0,000401745;0,00036157;0,0003287;0,00053566;0,000494455;0,000459137;0,000428528;0,000401745;0,000378113;0,000803489;0,000761201;0,00072314;0,000688705;0,0006574;0,000628818;0,000602617;0,000578512;0,000556262;0,00053566;0,000516529;0,000498718;0,000482094;0,000466542;0,000451963;0,000438267;0,000425377;0,001652893
