1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
10638,7187,4528,3727,2619,2614,2511,2507,2407,2404,1815,1815,1815,1815,1713,1712,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210,1209,1208,1108,1107,958,958,605
1.0,1.48017253374,2.34938162544,2.85430641266,4.0618556701,4.06962509564,4.23655913978,4.24331870762,4.41960947237,4.42512479201,5.86115702479,5.86115702479,5.86115702479,5.86115702479,6.21015761821,6.21378504673,8.79173553719,8.79173553719,8.79173553719,8.79173553719,8.79173553719,8.79173553719,8.79173553719,8.79173553719,8.79173553719,8.79173553719,8.79173553719,8.79173553719,8.79900744417,8.80629139073,9.60108303249,9.60975609756,11.1043841336,11.1043841336,17.5834710744
9.40026320737e-05,0.000102975687612,0.000172952122014,0.000191461390707,0.000310183709057,0.000259476223899,0.000241028568003,0.000211573529498,0.000204016501517,0.000184073410649,0.000293571601542,0.000269107301414,0.000248406739767,0.000230663401212,0.000241687395144,0.000226846708774,0.00042740571401,0.000403660952121,0.000382415638851,0.000363294856909,0.000345995101818,0.000330268051735,0.000315908571225,0.000302745714091,0.000290635885527,0.000279457582237,0.000269107301414,0.000259496326363,0.000250962820347,0.000242999210561,0.000279523786901,0.000271278119285,0.000351248944569,0.000340918093258,0.000830388244363
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
